temperature,humidity,rainfall,wind_speed,pressure,disaster_type
42.0,13,0.0,11.2,1008.0,Heatwave
42.0,25,0.0,11.2,1006.0,Heatwave
40.0,23,0.0,29.9,1009.0,Heatwave
41.0,7,0.0,15.1,1008.0,Heatwave
42.0,5,0.0,22.0,1006.0,Heatwave
40.0,19,0.0,20.2,1008.0,Heatwave
40.7,22,0.0,5.4,1007.0,Heatwave
43.0,6,0.0,11.2,1004.0,Heatwave
41.0,15,0.0,11.2,1000.0,Heatwave
43.0,15,0.0,4.0,1007.0,Heatwave
42.5,7,0.0,7.2,1003.0,Heatwave
42.2,6,0.0,12.2,1003.0,Heatwave
41.0,14,0.0,11.2,999.0,Heatwave
42.7,15,0.0,6.5,1004.0,Heatwave
40.3,7,0.0,9.7,1004.0,Heatwave
44.1,9,0.0,7.6,1001.0,Heatwave
44.0,11,0.0,11.2,1005.0,Heatwave
41.0,12,0.0,20.2,1008.0,Heatwave
40.0,16,0.0,6.8,1001.0,Heatwave
42.0,17,0.0,3.6,1008.0,Heatwave
42.9,12,0.0,6.1,1005.0,Heatwave
40.6,10,0.0,6.1,1005.0,Heatwave
41.6,17,0.0,22.7,1004.0,Heatwave
45.0,10,0.0,13.0,1005.0,Heatwave
41.0,25,0.0,3.6,1010.0,Heatwave
42.0,18,0.0,6.1,1008.0,Heatwave
41.0,7,0.0,19.1,1008.0,Heatwave
41.0,11,0.0,17.6,1006.0,Heatwave
41.6,16,0.0,11.5,1005.0,Heatwave
41.5,21,0.0,5.4,1006.0,Heatwave
44.0,6,0.0,18.4,1004.0,Heatwave
42.6,17,0.0,4.0,1006.0,Heatwave
41.0,6,0.0,6.1,1007.0,Heatwave
42.9,12,0.0,16.9,1004.0,Heatwave
43.1,9,0.0,19.1,1002.0,Heatwave
41.0,23,0.0,9.0,1000.0,Heatwave
41.0,6,0.0,11.2,1009.0,Heatwave
43.0,7,0.0,15.8,1003.0,Heatwave
41.0,16,0.0,10.4,1007.0,Heatwave
41.4,17,0.0,12.2,1004.0,Heatwave
