temperature,humidity,rainfall,wind_speed,pressure,disaster_type
30.2,70,0.0,19.4,1010.0,Normal
33.2,53,0.05,4.3,1004.0,Normal
27.0,53,0.0,9.4,1019.0,Normal
30.4,66,0.0,15.1,1008.0,Normal
28.2,50,0.0,4.3,1012.0,Normal
20.5,61,0.0,15.8,1016.0,Normal
34.5,42,0.0,5.0,1011.0,Normal
30.2,70,0.0,14.4,1009.0,Normal
28.3,58,0.0,25.6,1015.0,Normal
30.3,55,0.0,3.6,1015.0,Normal
33.0,47,0.0,15.1,1013.0,Normal
27.6,55,0.0,6.8,1013.0,Normal
25.1,57,0.0,15.5,1009.0,Normal
32.4,67,0.45,3.6,1013.0,Normal
23.6,54,0.0,11.2,1017.0,Normal
27.1,66,0.0,21.6,1011.0,Normal
20.4,68,0.0,23.0,1014.0,Normal
23.2,41,0.0,12.6,1023.0,Normal
22.1,69,0.0,19.1,1026.0,Normal
24.4,34,0.0,8.3,1015.0,Normal
30.4,40,0.0,41.0,1012.0,Normal
30.0,40,0.0,19.8,1021.0,Normal
24.2,44,0.0,10.1,1025.0,Normal
22.1,57,1.84,3.6,1023.0,Normal
33.5,60,0.0,12.6,1003.0,Normal
30.7,66,0.96,7.6,1007.0,Normal
26.1,48,0.0,24.5,1008.0,Normal
31.0,43,0.0,7.2,1016.0,Normal
28.5,55,0.07,7.6,1014.0,Normal
22.5,58,0.0,3.6,1013.0,Normal
31.3,55,0.0,13.7,1011.0,Normal
30.2,33,0.0,41.0,1015.0,Normal
21.1,49,0.0,10.1,1028.0,Normal
29.3,31,0.0,11.5,1022.0,Normal
25.7,69,0.1,3.6,1003.0,Normal
33.1,59,0.37,4.3,1007.0,Normal
27.9,64,0.0,25.6,1003.0,Normal
34.1,47,0.0,6.1,1011.0,Normal
26.9,63,0.0,11.5,1010.0,Normal
21.3,33,0.0,12.6,1015.0,Normal
28.3,70,0.01,14.0,1008.0,Normal
29.4,70,0.01,20.2,1014.0,Normal
21.2,64,0.06,14.8,1027.0,Normal
28.1,66,0.02,18.0,1010.0,Normal
27.0,58,0.0,37.1,1015.0,Normal
26.3,51,1.52,9.0,1013.0,Normal
32.3,67,0.48,9.4,1007.0,Normal
21.2,62,0.01,7.2,1018.0,Normal
26.2,54,0.0,16.9,1019.0,Normal
26.6,31,0.0,15.1,1014.0,Normal
26.3,38,0.0,19.4,1018.0,Normal
31.1,66,1.88,3.6,1010.0,Normal
25.3,51,0.0,5.0,1016.0,Normal
30.1,62,0.01,6.8,1011.0,Normal
28.3,42,0.0,9.4,1021.0,Normal
25.2,61,0.0,11.9,1009.0,Normal
34.6,53,0.0,11.5,997.0,Normal
22.1,65,0.0,3.6,1018.0,Normal
31.2,49,0.0,6.8,1009.0,Normal
31.4,41,0.0,37.1,1007.0,Normal
31.1,49,0.0,14.4,1016.0,Normal
23.5,36,0.0,22.3,1021.0,Normal
22.3,61,0.0,5.8,1014.0,Normal
30.4,38,0.0,4.3,1010.0,Normal
24.2,61,0.0,3.6,1021.0,Normal
30.1,40,0.0,9.7,1009.0,Normal
27.3,37,0.0,8.3,1019.0,Normal
22.3,69,0.0,21.6,1017.0,Normal
30.1,70,0.0,8.6,1007.0,Normal
25.8,44,0.0,7.9,1015.0,Normal
29.1,31,0.0,16.2,1020.0,Normal
24.2,65,0.0,11.9,1017.0,Normal
32.6,58,0.22,11.5,1008.0,Normal
26.2,56,0.0,5.0,1006.0,Normal
32.6,64,0.09,28.1,1002.0,Normal
21.1,46,0.0,16.6,1014.0,Normal
23.3,51,0.0,15.8,1012.0,Normal
26.4,58,0.0,22.0,1018.0,Normal
25.4,47,0.0,15.1,1014.0,Normal
30.1,31,0.0,25.9,1006.0,Normal
30.1,70,0.06,28.1,1016.0,Normal
27.1,58,0.01,5.8,1019.0,Normal
21.8,50,0.0,6.8,1023.0,Normal
24.2,31,0.0,8.6,1023.0,Normal
24.2,36,0.0,5.0,1010.0,Normal
28.2,48,0.0,11.2,1012.0,Normal
32.2,38,0.0,5.8,1009.0,Normal
28.3,66,0.02,31.7,1018.0,Normal
28.1,62,0.0,14.4,1007.0,Normal
21.2,40,0.0,8.3,1020.0,Normal
26.1,65,0.17,7.2,1017.0,Normal
21.4,64,0.01,20.2,1018.0,Normal
30.4,59,0.0,12.6,1009.0,Normal
22.2,63,0.0,10.8,1015.0,Normal
29.8,45,0.0,12.2,1014.0,Normal
27.5,65,0.0,13.3,1010.0,Normal
26.4,70,0.34,19.8,1013.0,Normal
29.3,62,0.0,16.9,1019.0,Normal
29.4,70,0.0,17.3,1013.0,Normal
30.3,59,0.0,20.2,1010.0,Normal
23.3,41,0.0,14.0,1020.0,Normal
29.1,40,0.0,3.6,1020.0,Normal
29.4,66,0.41,6.1,1010.0,Normal
28.4,42,0.0,9.0,1014.0,Normal
21.3,44,0.0,8.3,1015.0,Normal
20.2,58,0.39,9.0,1014.0,Normal
25.9,37,0.0,14.8,1020.0,Normal
27.5,51,0.0,3.6,1017.0,Normal
31.3,50,0.0,5.8,1013.0,Normal
27.4,44,0.0,6.8,1012.0,Normal
29.0,55,0.0,12.6,1010.0,Normal
29.0,48,0.0,11.2,1010.0,Normal
26.2,65,0.03,7.2,1021.0,Normal
21.7,42,0.0,10.8,1020.0,Normal
31.2,43,0.0,6.8,1014.0,Normal
20.4,41,0.0,3.6,1014.0,Normal
21.2,64,0.0,20.5,1026.0,Normal
32.2,49,0.0,6.8,1009.0,Normal
34.6,47,0.0,5.0,1006.0,Normal
21.4,44,0.0,17.6,1017.0,Normal
27.3,70,0.0,7.6,1014.0,Normal
21.1,69,0.0,7.6,1014.0,Normal
27.1,34,0.0,11.5,1009.0,Normal
26.2,51,0.0,15.1,1014.0,Normal
24.5,56,0.0,9.7,1014.0,Normal
21.3,64,0.0,4.0,1022.0,Normal
24.1,61,0.0,4.3,1020.0,Normal
29.2,48,0.0,13.0,1013.0,Normal
20.3,53,0.0,11.2,1023.0,Normal
27.1,51,0.01,25.9,1010.0,Normal
26.6,69,0.0,11.5,1016.0,Normal
32.1,56,0.82,11.5,1008.0,Normal
26.3,61,0.0,3.6,1008.0,Normal
25.2,51,0.0,6.1,1021.0,Normal
23.0,69,0.0,6.8,1021.0,Normal
29.3,40,0.0,17.3,1013.0,Normal
29.1,62,0.0,28.1,1013.0,Normal
20.0,60,0.01,27.7,1027.0,Normal
26.9,46,0.01,4.3,1011.0,Normal
31.4,31,0.0,3.6,1015.0,Normal
28.8,70,0.0,18.0,1016.0,Normal
26.5,63,0.0,22.0,1011.0,Normal
23.3,36,0.01,10.1,1016.0,Normal
25.3,39,0.0,19.4,1005.0,Normal
25.4,65,0.0,5.8,1018.0,Normal
29.3,37,0.0,7.6,1013.0,Normal
28.4,70,0.38,10.1,1009.0,Normal
24.1,57,0.0,14.8,1024.0,Normal
22.3,35,0.0,13.3,1014.0,Normal
28.6,39,0.0,13.0,1016.0,Normal
22.7,60,0.54,14.4,1014.0,Normal
27.3,37,0.0,29.9,1020.0,Normal
24.1,54,0.0,4.7,1023.0,Normal
25.6,42,0.0,6.5,1013.0,Normal
23.3,57,0.0,12.6,1025.0,Normal
30.1,55,0.0,24.1,1012.0,Normal
28.2,50,0.0,10.1,1016.0,Normal
30.1,55,0.05,11.2,1015.0,Normal
21.3,43,0.0,13.0,1012.0,Normal
23.1,53,0.0,15.8,1023.0,Normal
29.6,33,0.0,19.1,1009.0,Normal
25.4,34,0.0,11.5,1020.0,Normal
24.2,31,0.0,14.0,1019.0,Normal
25.9,62,0.0,21.2,1018.0,Normal
25.1,32,0.0,8.6,1018.0,Normal
31.2,49,0.0,9.4,1012.0,Normal
22.0,31,0.0,11.9,1019.0,Normal
28.2,66,0.0,28.8,1014.0,Normal
30.1,66,0.0,4.0,1011.0,Normal
29.3,62,0.0,4.0,1009.0,Normal
34.1,44,0.0,13.7,1008.0,Normal
30.1,52,0.0,15.1,1013.0,Normal
24.4,39,0.0,13.0,1016.0,Normal
22.9,62,0.35,3.6,1011.0,Normal
32.6,57,0.0,18.7,1001.0,Normal
31.3,63,0.0,9.7,1010.0,Normal
27.3,47,0.0,29.2,1010.0,Normal
24.0,54,0.0,13.0,1014.0,Normal
30.7,38,0.0,23.8,1010.0,Normal
24.3,61,0.0,25.6,1015.0,Normal
28.3,48,0.0,3.6,1020.0,Normal
29.6,66,0.0,4.3,1012.0,Normal
31.4,66,0.01,11.2,1009.0,Normal
28.4,48,0.0,14.4,1012.0,Normal
22.0,69,0.0,20.2,1005.0,Normal
22.2,61,0.0,4.7,1018.0,Normal
31.8,38,0.0,14.8,1015.0,Normal
24.2,57,0.0,15.1,1019.0,Normal
21.3,35,0.0,6.8,1015.0,Normal
22.2,61,0.0,12.6,1022.0,Normal
23.1,53,0.0,6.8,1018.0,Normal
25.0,44,0.0,4.7,1017.0,Normal
33.1,56,1.16,5.0,1012.0,Normal
20.2,64,0.0,10.8,1026.0,Normal
29.0,40,0.0,42.8,1014.0,Normal
24.3,57,0.0,15.8,1022.0,Normal
21.4,57,0.0,14.8,1013.0,Normal
28.1,35,0.0,29.9,1014.0,Normal
25.2,47,0.0,3.6,1015.0,Normal
30.1,66,0.0,9.4,1014.0,Normal
27.8,45,0.08,4.7,1007.0,Normal
28.8,62,0.0,23.4,1012.0,Normal
30.0,66,2.19,5.4,1016.0,Normal
20.4,56,0.0,7.6,1027.0,Normal
33.0,63,0.0,28.1,1011.0,Normal
21.3,64,0.0,32.0,1012.0,Normal
22.7,69,0.04,23.8,1018.0,Normal
25.4,61,0.0,5.4,1018.0,Normal
26.4,61,0.0,6.8,1010.0,Normal
32.3,65,0.0,20.2,1004.0,Normal
33.8,53,0.01,11.5,1003.0,Normal
32.3,63,0.0,9.4,1008.0,Normal
21.1,46,0.0,18.7,1024.0,Normal
31.1,55,0.0,16.9,1017.0,Normal
28.2,55,0.0,29.9,1015.0,Normal
32.4,67,0.0,9.0,1011.0,Normal
27.2,48,0.0,17.6,1014.0,Normal
33.4,56,0.0,12.6,1006.0,Normal
24.1,57,0.0,9.4,1018.0,Normal
21.1,60,0.0,25.6,1025.0,Normal
30.0,33,0.0,11.2,1017.0,Normal
23.3,31,0.0,18.7,1026.0,Normal
21.2,43,0.0,9.0,1022.0,Normal
26.2,70,0.0,7.2,1016.0,Normal
20.4,49,0.0,16.9,1032.0,Normal
24.3,47,0.0,4.7,1024.0,Normal
25.0,65,0.01,11.2,1017.0,Normal
30.4,46,0.0,6.1,1011.0,Normal
32.3,41,0.0,14.0,1015.0,Normal
29.3,43,0.02,10.8,1005.0,Normal
20.0,68,0.16,40.0,1015.0,Normal
34.0,41,0.3,6.1,1015.0,Normal
30.0,46,0.0,3.6,1016.0,Normal
25.8,50,0.04,13.0,1015.0,Normal
28.3,42,0.0,5.8,1010.0,Normal
27.9,67,0.0,4.0,1017.0,Normal
30.7,36,0.0,4.0,1008.0,Normal
25.0,65,0.42,11.2,1007.0,Normal
25.4,54,0.01,3.6,1022.0,Normal
26.3,51,0.0,15.1,1012.0,Normal
28.3,64,0.13,13.3,1010.0,Normal
35.0,60,0.0,6.8,997.0,Normal
34.1,47,0.0,27.4,1007.0,Normal
32.0,56,0.0,11.5,1011.0,Normal
21.0,53,0.71,25.9,1014.0,Normal
24.7,60,0.0,10.8,1018.0,Normal
28.0,42,0.0,8.6,1015.0,Normal
25.0,36,0.0,14.4,1018.0,Normal
29.3,66,0.02,10.8,1013.0,Normal
24.4,68,0.03,17.6,1017.0,Normal
23.1,61,0.6,7.2,1024.0,Normal
20.6,61,0.52,11.9,1002.0,Normal
27.0,57,0.0,6.8,1011.0,Normal
28.4,42,0.0,9.0,1017.0,Normal
21.4,56,0.0,19.4,1023.0,Normal
25.3,67,0.02,7.2,1015.0,Normal
34.3,34,0.0,6.5,1011.0,Normal
22.4,65,0.0,9.0,1020.0,Normal
29.5,61,0.07,19.4,1013.0,Normal
30.4,33,0.0,12.2,1009.0,Normal
28.1,66,0.0,14.8,1009.0,Normal
33.1,63,0.0,10.4,1005.0,Normal
25.2,41,0.0,9.4,1013.0,Normal
24.0,69,0.0,7.9,1015.0,Normal
28.3,45,0.0,9.0,1012.0,Normal
30.3,55,0.98,14.8,1012.0,Normal
22.5,53,0.0,9.0,1016.0,Normal
23.0,57,0.0,11.5,1010.0,Normal
23.3,61,0.0,8.3,1025.0,Normal
33.3,53,0.0,10.8,1014.0,Normal
23.2,44,0.0,10.4,1024.0,Normal
27.1,37,0.0,7.6,1011.0,Normal
31.4,66,0.0,3.6,1012.0,Normal
28.3,48,0.0,19.1,1016.0,Normal
30.1,59,0.02,22.7,1012.0,Normal
24.4,57,0.0,29.2,1014.0,Normal
22.0,57,0.0,3.6,1025.0,Normal
29.1,66,0.02,33.1,1013.0,Normal
28.2,58,0.0,14.0,1014.0,Normal
29.4,43,0.0,3.6,1012.0,Normal
25.1,50,0.0,6.5,1014.0,Normal
26.0,51,0.0,9.4,1015.0,Normal
27.6,55,0.0,23.8,1015.0,Normal
26.8,33,0.0,20.2,1004.0,Normal
24.5,65,0.0,5.0,1014.0,Normal
33.1,55,0.05,8.6,1004.0,Normal
24.3,65,0.0,13.0,1017.0,Normal
21.0,46,0.0,3.6,1028.0,Normal
25.3,61,0.07,15.1,1019.0,Normal
24.2,65,0.0,3.6,1015.0,Normal
28.1,66,0.01,25.9,1019.0,Normal
28.5,67,0.0,9.0,1008.0,Normal
21.3,53,0.0,19.1,1021.0,Normal
26.1,34,0.0,14.0,1010.0,Normal
26.6,39,0.0,18.0,1006.0,Normal
33.3,41,0.0,22.0,1009.0,Normal
33.2,56,0.0,15.5,1008.0,Normal
26.2,48,0.0,16.9,1021.0,Normal
31.1,52,0.0,4.7,1012.0,Normal
27.2,64,0.56,5.8,1012.0,Normal
25.2,47,0.0,18.0,1016.0,Normal
25.6,62,0.0,10.4,1010.0,Normal
25.0,65,0.02,16.2,1019.0,Normal
29.4,66,0.0,21.2,1015.0,Normal
30.9,49,0.0,6.8,1009.0,Normal
32.1,30,0.0,9.7,1012.0,Normal
26.0,63,0.0,20.9,1021.0,Normal
29.7,41,0.2,10.4,1014.0,Normal
30.2,49,0.0,11.5,1014.0,Normal
30.3,52,0.0,11.2,1014.0,Normal
20.3,35,0.0,6.5,1016.0,Normal
26.3,32,0.0,8.6,1024.0,Normal
21.1,69,0.05,25.9,1018.0,Normal
26.1,30,0.0,15.5,1011.0,Normal
20.3,60,0.0,5.8,1023.0,Normal
30.2,52,0.0,9.4,1010.0,Normal
31.0,55,0.0,6.1,1015.0,Normal
26.1,54,0.0,3.6,1017.0,Normal
31.2,33,0.0,32.4,1014.0,Normal
28.4,70,0.0,5.0,1012.0,Normal
29.1,58,0.0,20.2,1010.0,Normal
26.1,30,0.0,19.4,1023.0,Normal
22.4,57,0.0,8.3,1026.0,Normal
29.3,37,0.0,6.1,1013.0,Normal
31.3,63,0.0,15.1,1009.0,Normal
23.4,37,0.0,20.9,1011.0,Normal
28.4,70,0.0,5.4,1017.0,Normal
31.5,36,0.0,10.8,1014.0,Normal
20.0,64,0.01,15.1,1012.0,Normal
33.3,44,0.0,9.4,1006.0,Normal
30.3,62,0.27,3.6,1007.0,Normal
30.0,70,0.05,4.3,1011.0,Normal
29.3,70,0.0,31.3,1016.0,Normal
23.7,46,0.0,7.9,1005.0,Normal
32.0,63,0.5,33.1,1004.0,Normal
25.8,37,0.0,4.0,1015.0,Normal
29.7,51,0.0,14.4,1013.0,Normal
27.2,30,0.0,19.8,1021.0,Normal
25.3,54,0.0,19.1,1020.0,Normal
24.3,54,0.0,3.6,1017.0,Normal
26.3,35,0.0,5.4,1013.0,Normal
29.4,70,0.0,20.2,1009.0,Normal
28.4,58,0.0,19.4,1011.0,Normal
23.0,38,0.0,15.5,1011.0,Normal
26.5,52,0.0,11.2,1020.0,Normal
24.3,38,0.0,10.1,1022.0,Normal
32.1,56,0.0,9.7,1008.0,Normal
32.6,39,0.0,6.8,1011.0,Normal
25.2,57,0.0,21.2,1015.0,Normal
25.2,47,0.0,6.1,1023.0,Normal
20.3,68,0.0,10.1,1020.0,Normal
22.3,65,0.0,6.1,1019.0,Normal
26.1,70,0.0,11.2,1011.0,Normal
22.1,53,0.0,5.8,1014.0,Normal
28.2,62,0.0,13.7,1017.0,Normal
22.1,50,0.0,18.4,1029.0,Normal
29.1,45,0.0,11.5,1014.0,Normal
22.3,65,0.0,15.1,1020.0,Normal
24.0,40,0.0,13.0,1018.0,Normal
21.1,60,0.02,15.5,1016.0,Normal
28.2,32,0.0,10.1,1015.0,Normal
31.4,50,0.01,15.5,1007.0,Normal
30.3,38,0.0,16.9,1013.0,Normal
27.2,58,0.0,14.0,1021.0,Normal
25.1,65,0.03,24.8,1022.0,Normal
25.2,61,0.0,13.7,1020.0,Normal
28.8,66,0.04,8.6,1013.0,Normal
20.2,56,0.0,13.0,1014.0,Normal
30.3,70,0.01,22.7,1012.0,Normal
21.3,64,0.0,21.2,1022.0,Normal
22.1,41,0.0,22.0,1015.0,Normal
30.0,35,0.0,10.1,1011.0,Normal
29.2,66,0.04,23.0,1014.0,Normal
22.4,53,0.0,31.0,1020.0,Normal
25.4,44,0.0,3.6,1017.0,Normal
30.3,52,0.0,22.0,1012.0,Normal
28.1,51,0.0,13.0,1017.0,Normal
31.3,33,0.0,28.1,1017.0,Normal
32.1,67,0.23,25.9,1011.0,Normal
23.2,65,0.0,22.3,1012.0,Normal
21.0,64,0.0,17.6,1012.0,Normal
25.3,69,0.0,7.2,1017.0,Normal
20.1,35,0.0,6.1,1022.0,Normal
28.8,43,0.0,12.6,1011.0,Normal
21.3,40,0.51,5.4,1012.0,Normal
33.6,51,0.0,9.0,1008.0,Normal
25.4,69,0.0,14.0,1012.0,Normal
30.2,66,0.0,10.1,1014.0,Normal
26.0,48,0.0,3.6,1014.0,Normal
25.4,65,0.0,14.0,1005.0,Normal
30.2,66,0.0,14.0,1012.0,Normal
24.4,47,0.0,19.1,1020.0,Normal
21.4,60,0.68,16.9,1014.0,Normal
23.4,61,0.0,4.7,1014.0,Normal
32.1,67,0.0,8.3,1009.0,Normal
34.5,40,0.0,20.2,1004.0,Normal
23.3,68,0.0,3.6,1011.0,Normal
29.0,45,0.0,3.6,1010.0,Normal
22.2,65,0.33,5.4,1022.0,Normal
33.0,59,0.0,9.0,1007.0,Normal
20.2,46,0.0,5.8,1014.0,Normal
28.1,30,0.0,19.8,1012.0,Normal
29.0,69,0.0,10.1,1006.0,Normal
30.3,66,0.01,9.0,1011.0,Normal
20.3,68,0.0,11.9,1020.0,Normal
32.2,67,0.0,12.6,1011.0,Normal
29.2,40,0.0,20.2,1013.0,Normal
32.3,36,0.01,15.1,1006.0,Normal
32.1,32,0.0,20.2,1006.0,Normal
26.0,45,0.02,16.9,1015.0,Normal
28.2,62,0.0,17.3,1013.0,Normal
28.4,70,0.08,22.3,1014.0,Normal
22.2,46,0.0,7.9,1027.0,Normal
20.4,37,0.0,4.3,1019.0,Normal
22.5,31,0.0,11.9,1018.0,Normal
28.0,45,0.0,15.1,1015.0,Normal
27.1,39,0.0,20.9,1024.0,Normal
30.4,70,0.0,18.7,1008.0,Normal
24.3,50,0.0,13.3,1022.0,Normal
25.3,61,0.0,6.1,1011.0,Normal
25.1,61,0.0,9.4,1018.0,Normal
29.3,70,0.0,20.2,1014.0,Normal
29.4,37,0.0,11.5,1015.0,Normal
21.4,56,0.0,23.0,1020.0,Normal
24.1,57,0.0,15.8,1018.0,Normal
24.1,65,0.0,11.9,1013.0,Normal
26.3,48,0.0,14.8,1020.0,Normal
28.3,66,0.0,11.2,1016.0,Normal
21.0,52,0.0,27.7,1007.0,Normal
34.3,63,0.0,9.0,994.0,Normal
26.0,58,0.86,15.1,1012.0,Normal
28.2,47,0.0,19.1,1016.0,Normal
20.2,69,0.0,7.2,1015.0,Normal
31.1,63,0.03,25.9,1009.0,Normal
23.0,57,0.0,24.1,999.0,Normal
30.0,70,0.17,11.2,1015.0,Normal
25.8,69,0.0,32.0,1011.0,Normal
33.9,54,0.0,11.9,1002.0,Normal
25.1,57,0.0,5.8,1011.0,Normal
34.4,53,0.0,14.4,1008.0,Normal
32.1,56,0.0,11.5,1013.0,Normal
26.0,30,0.0,25.2,1015.0,Normal
21.0,69,0.07,14.8,1012.0,Normal
26.3,70,0.0,7.6,1013.0,Normal
22.1,46,0.0,19.1,1013.0,Normal
21.2,69,0.0,8.3,1016.0,Normal
26.2,37,0.0,6.1,1023.0,Normal
20.8,36,0.0,18.4,1013.0,Normal
26.3,60,0.0,17.3,1015.0,Normal
21.5,32,0.0,12.6,1018.0,Normal
