temperature,humidity,rainfall,wind_speed,pressure,disaster_type
20.6,61.0,0.52,11.9,1002.0,Normal
13.85,97.5,48.6,11.0,1019.25,HeavyRain
31.0,55.0,0.0,31.3,1008.0,Storm
44.9,11.0,0.0,18.7,998.0,Heatwave
32.4,63.0,1.44,3.6,1009.0,Normal
25.1,51.0,0.0,21.6,1020.0,Normal
16.4,54.0,78.4,14.0,999.9,HeavyRain
43.3,9.0,0.0,18.4,1001.0,Heatwave
28.1,84.0,0.03,31.0,1008.0,Storm
23.5,64.0,0.0,23.4,1017.0,Normal
12.2,93.0,39.2,26.0,1015.45,HeavyRain
28.6,53.0,0.0,19.1,1015.0,Normal
29.7,39.0,0.0,15.8,1012.0,Normal
21.65,94.0,32.8,25.0,1000.8,HeavyRain
16.0,96.0,105.8,21.0,1011.95,HeavyRain
23.450000000000003,71.5,24.4,19.5,1018.4,HeavyRain
28.2,84.0,1.46,30.6,1009.0,Storm
21.2,40.0,0.0,20.2,1011.0,Normal
24.1,95.5,43.8,25.0,1007.35,HeavyRain
15.4,82.0,21.0,7.5,1018.85,HeavyRain
27.3,67.0,0.02,3.6,1011.0,Normal
17.85,87.5,32.2,36.0,1020.4,HeavyRain
28.1,84.0,0.11,33.1,1008.0,Storm
30.2,66.0,0.0,21.2,1009.0,Normal
16.799999999999997,81.0,45.8,17.5,1002.8,HeavyRain
14.55,88.5,22.0,15.0,1013.35,HeavyRain
11.3,100.0,0.88,30.6,1010.0,Storm
42.9,12.0,0.0,16.9,1004.0,Heatwave
20.9,67.5,43.0,15.5,1019.95,HeavyRain
28.0,70.0,0.0,38.9,1009.0,Storm
42.3,16.0,0.0,11.9,1005.0,Heatwave
21.1,60.0,0.0,30.6,1011.0,Storm
28.1,70.0,0.05,28.4,1012.0,Normal
25.8,71.0,0.0,32.0,1012.0,Storm
29.1,43.0,0.84,3.6,1016.0,Normal
4.4,100.0,0.22,32.4,984.0,Storm
41.1,7.0,0.0,6.1,1004.0,Heatwave
17.85,92.0,22.8,11.0,1014.4,HeavyRain
7.3,81.0,0.0,31.3,988.0,Storm
18.3,87.5,56.8,23.0,1010.65,HeavyRain
11.05,59.0,20.8,26.0,1023.45,HeavyRain
33.4,31.0,0.0,30.2,1006.0,Storm
22.95,73.0,23.0,14.5,1018.85,HeavyRain
48.1,6.0,0.0,16.9,993.0,Heatwave
18.15,89.5,72.0,37.0,1012.3,HeavyRain
41.0,23.0,0.0,9.0,1000.0,Heatwave
28.8,74.0,0.01,34.6,1009.0,Storm
13.35,92.0,21.8,29.5,1003.4,HeavyRain
28.1,63.0,26.2,18.5,1008.45,HeavyRain
33.2,30.0,0.0,3.6,1010.0,Normal
32.4,36.0,0.0,9.0,1011.0,Normal
13.3,77.0,0.32,37.4,1005.0,Storm
27.1,89.0,2.02,34.2,1008.0,Storm
14.95,99.0,29.0,16.0,1018.05,HeavyRain
27.0,53.0,0.0,9.4,1019.0,Normal
26.700000000000003,85.0,22.0,10.0,1009.2,HeavyRain
40.2,22.0,0.0,11.9,998.0,Heatwave
20.3,56.0,0.0,16.2,1011.0,Normal
28.0,13.0,0.0,37.1,1010.0,Storm
0.0,93.0,0.96,37.8,1001.0,Storm
20.0,49.0,0.0,9.0,1021.0,Normal
12.2,67.0,0.12,41.8,1008.0,Storm
25.450000000000003,85.5,53.4,12.0,1007.4,HeavyRain
21.8,83.0,64.0,3.0,1009.3,HeavyRain
41.8,10.0,0.0,16.2,1003.0,Heatwave
27.3,62.0,0.27,6.8,1016.0,Normal
-9.9,61.0,0.01,31.7,994.0,Storm
30.4,46.0,0.0,6.1,1011.0,Normal
