elevation,latitude,longitude,precipitation,pressure,soil_moisture,temperature,wind_speed,humidity,precip_3day_avg,precip_7day_avg,temp_3day_avg,soil_3day_avg,month,is_monsoon,water_area_change,water_area_pct_change,days_since_last_flood,flood_event
,,,19.59,101867.3,0.2509,26.08,1.57,59.42,17.27,9.6,27.34,0.2519,12,0,,,,0
,,,13.64,101614.5,0.1961,35.25,0.75,40.93,7.3,6.53,35.42,0.1839,3,0,,,,0
,,,207.15,99821.9,0.788,32.47,8.34,81.05,128.82,92.48,31.35,0.7925,6,1,,,,1
,,,26.7,101047.0,0.3154,21.7,3.11,67.22,20.0,13.3,23.6,0.3237,3,0,,,,0
,,,29.63,100500.0,0.35,29.19,1.79,69.71,20.0,13.18,31.13,0.3682,8,1,,,,0
,,,18.76,100875.5,0.2849,33.98,1.82,50.27,12.94,10.71,35.21,0.3029,3,0,,,,0
,,,18.0,101031.3,0.2309,37.16,1.14,43.37,12.06,10.13,37.92,0.2344,4,0,,,,0
,,,294.02,98073.6,0.9057,28.09,6.23,92.27,228.7,180.0,29.2,0.8959,7,1,,,,1
,,,150.6,100107.6,0.6711,23.95,5.34,80.91,95.28,66.38,23.53,0.687,9,1,,,,1
,,,176.51,99851.6,0.748,31.49,4.03,81.31,138.9,96.2,31.22,0.7437,7,1,,,,1
,,,10.35,101527.8,0.1442,23.74,1.67,41.19,8.07,7.14,24.59,0.1552,9,1,,,,0
,,,29.85,100500.0,0.3042,34.91,4.14,68.55,20.0,15.0,34.11,0.3195,7,1,,,,0
,,,2.8,102945.6,0.0969,33.03,1.08,22.35,2.27,1.39,33.93,0.1104,11,0,,,,0
,,,7.1,101843.6,0.1595,18.07,0.47,29.36,4.56,2.59,17.61,0.1668,5,0,,,,0
,,,116.67,99786.1,0.6519,21.48,3.0,75.88,75.49,49.71,20.14,0.6659,9,1,,,,1
109.1929732,26.24925128,68.0,0.000181055,100101.793,0.085874087,24.02650013,0.918761279,62.51026952,0.000639279,0.000682068,24.1864126,0.085890957,11,0,-157.0218929,-0.654388609,8.0,0
,,,0.74,102207.4,0.08,23.42,0.59,23.25,0.5,0.26,23.4,0.0787,2,0,,,,0
,,,12.7,102153.3,0.196,35.66,1.43,37.82,11.28,8.54,34.39,0.1951,11,0,,,,0
,,,229.48,99094.3,0.7686,21.04,6.99,93.86,126.99,100.04,22.78,0.7713,8,1,,,,1
,,,165.45,99675.9,0.7084,25.28,5.62,80.01,103.11,83.65,24.98,0.7041,7,1,,,,1
,,,19.37,101002.3,0.2162,37.42,1.26,50.81,10.3,6.06,36.71,0.2272,12,0,,,,0
,,,252.7,99167.5,0.801,23.0,3.3,91.06,196.74,136.36,22.55,0.7761,7,1,,,,1
,,,296.94,98879.2,0.8594,26.65,8.66,93.85,246.33,180.0,26.46,0.8686,8,1,,,,1
,,,261.82,98660.5,0.834,28.23,8.65,89.06,155.84,118.58,29.59,0.8125,2,0,,,,1
,,,0.16,102122.9,0.08,24.17,0.0,20.73,0.08,0.06,25.77,0.082,2,0,,,,0
,,,5.31,102853.1,0.1316,18.54,1.41,27.97,3.67,2.49,18.46,0.1138,12,0,,,,0
,,,149.68,99448.9,0.6653,34.39,4.63,81.8,96.62,70.85,36.38,0.6423,8,1,,,,1
,,,275.2,98456.4,0.8758,22.82,10.65,94.87,227.01,162.91,22.38,0.8823,1,0,,,,1
,,,19.23,101065.6,0.2228,32.07,2.13,50.26,12.45,9.57,30.3,0.2217,2,0,,,,0
109.1929732,26.24925128,68.0,0.091574213,100313.3358,0.092313633,20.81820653,3.898885647,56.83253696,0.085788528,0.036770823,21.80812135,0.087917246,11,0,270.7697515,0.997021465,13.0,0
,,,15.55,101193.0,0.2362,20.23,0.91,47.7,9.94,8.81,19.43,0.2385,12,0,,,,0
,,,281.97,98416.8,0.8649,20.0,8.46,93.57,197.85,130.57,20.22,0.8922,9,1,,,,1
,,,201.0,99295.0,0.7025,29.85,6.2,85.38,112.09,77.44,30.98,0.6997,6,1,,,,1
,,,156.18,98980.9,0.6657,26.23,4.89,80.94,121.42,99.03,26.78,0.6709,6,1,,,,1
,,,133.08,100418.3,0.6523,25.22,3.0,84.29,92.25,54.15,23.4,0.6792,2,0,,,,1
109.1929732,26.24925128,68.0,0.034844698,99922.63393,0.087521255,28.50919291,1.131231318,51.05021563,0.011614899,0.007625627,28.59755865,0.08831255,10,0,-166.4491466,-0.438881582,5.0,0
,,,300.72,98588.1,0.8373,27.66,7.45,100.0,187.05,126.05,26.46,0.8381,6,1,,,,1
109.1929732,26.24925128,68.0,0.002990754,98721.17928,0.085406507,34.74594678,3.57609097,51.02933002,0.01115762,0.1120771,34.6130658,0.08604343,7,1,-138.9184191,-0.498603418,6.0,0
,,,11.87,101386.0,0.2021,21.35,0.84,43.1,9.87,8.45,19.51,0.2025,1,0,,,,0
,,,14.9,101901.2,0.1696,19.96,0.59,46.56,12.44,10.14,18.27,0.1608,8,1,,,,0
,,,116.36,100422.2,0.6433,29.82,3.0,83.81,88.39,57.89,29.28,0.6549,5,0,,,,1
,,,27.8,101343.7,0.3197,22.88,3.34,66.14,19.69,14.04,21.82,0.3166,7,1,,,,0
,,,218.09,99591.9,0.7427,23.29,6.02,89.17,174.36,134.6,21.53,0.7534,7,1,,,,1
,,,19.49,101061.7,0.2406,29.3,1.43,48.97,14.71,11.71,27.58,0.2411,7,1,,,,0
,,,10.9,101240.1,0.1984,24.07,1.35,38.77,9.16,6.84,22.55,0.2098,11,0,,,,0
,,,252.97,98575.2,0.7894,24.61,8.64,89.91,206.59,170.14,26.14,0.7933,6,1,,,,1
,,,171.9,100153.4,0.7176,33.78,6.6,82.14,95.02,72.79,34.75,0.7467,8,1,,,,1
,,,192.89,99277.8,0.8183,29.4,4.9,84.77,135.24,98.6,28.34,0.7922,7,1,,,,1
,,,131.08,100232.5,0.6564,28.96,4.56,80.14,80.41,48.0,29.21,0.6267,7,1,,,,1
,,,26.03,100598.0,0.313,24.46,4.03,62.4,14.44,12.29,25.86,0.3197,3,0,,,,0
,,,316.57,98000.0,0.9387,26.09,3.86,96.33,200.99,111.32,24.09,0.9666,7,1,,,,1
109.1929732,26.24925128,68.0,0.0,98224.53627,0.080801372,35.50223843,2.324674139,15.70885912,0.0,4.85e-05,35.60203224,0.080969497,5,0,466.4345417,0.99764844,0.0,1
,,,10.93,101312.0,0.1834,36.0,0.9,43.13,7.14,6.28,37.73,0.1913,6,1,,,,0
,,,18.72,101056.6,0.256,23.0,1.25,54.16,15.53,10.37,22.69,0.2436,10,0,,,,0
,,,20.49,101366.3,0.2613,35.87,1.62,49.36,12.08,6.62,34.16,0.2617,9,1,,,,0
,,,15.65,101672.8,0.2206,36.86,1.28,47.97,12.98,10.06,37.41,0.217,3,0,,,,0
