precipitation,pressure,soil_moisture,temperature,wind_speed,humidity,precip_3day_avg,precip_7day_avg,temp_3day_avg,soil_3day_avg,month,is_monsoon,flood_event
12.64,101570.4,0.1814,19.32,2.18,40.72,10.26,5.66,20.36,0.165,5,0,0
0.18,102703.1,0.0821,32.06,0.0,20.0,0.1,0.08,32.53,0.0997,4,0,0
259.7,98843.0,0.8918,24.4,6.97,89.4,204.0,115.61,22.87,0.8947,9,1,1
0.2,102418.4,0.0932,28.7,0.0,20.8,0.15,0.08,28.29,0.0981,8,1,0
16.14,101281.5,0.2219,28.12,1.44,48.97,11.84,8.29,28.93,0.2199,10,0,0
22.65,100500.0,0.2963,29.01,2.98,57.14,17.67,14.54,28.97,0.2959,11,0,0
213.48,99078.1,0.7543,33.81,7.34,88.03,159.72,89.29,31.96,0.762,9,1,1
113.91,100500.0,0.6962,23.64,3.75,75.17,67.2,49.62,23.72,0.6861,10,0,1
194.01,99166.1,0.7639,29.09,5.55,82.69,133.14,110.85,28.52,0.7593,12,0,1
120.79,99644.0,0.6093,30.69,4.92,76.58,90.24,71.29,30.72,0.6312,7,1,1
265.87,99128.9,0.8294,31.2,7.28,88.71,185.82,124.27,31.08,0.8239,6,1,1
116.28,100011.1,0.6,34.34,3.32,75.0,86.46,63.89,34.71,0.6058,9,1,1
200.19,99498.7,0.7281,20.51,4.24,85.6,124.08,102.68,19.79,0.7401,7,1,1
6.21,102335.3,0.1626,29.93,0.65,30.41,3.87,3.39,28.16,0.1609,8,1,0
9.77,101413.8,0.1561,31.67,1.25,35.76,5.56,3.27,31.89,0.1377,2,0,0
22.53,101025.1,0.2915,26.0,0.81,57.93,17.66,11.93,26.43,0.3055,2,0,0
343.89,98052.0,0.9297,20.0,9.03,100.0,234.73,139.38,20.01,0.9521,9,1,1
26.24,101262.3,0.2835,23.73,1.02,57.92,20.0,15.0,25.67,0.2954,7,1,0
11.07,101012.1,0.2317,20.36,1.8,41.29,7.64,5.47,20.81,0.2381,11,0,0
340.35,98097.8,0.9055,30.84,7.05,98.23,210.67,178.2,30.76,0.8763,4,0,1
23.29,100514.3,0.2813,24.96,2.53,50.69,14.07,11.73,24.71,0.2985,8,1,0
17.93,101953.4,0.2411,35.42,3.06,51.8,10.71,8.97,36.01,0.2334,4,0,0
21.07,101003.4,0.2748,31.41,0.58,53.49,18.38,10.66,33.21,0.2598,4,0,0
22.96,100683.6,0.2707,36.46,2.38,65.63,15.15,8.76,35.04,0.2568,2,0,0
243.35,98770.8,0.7737,23.5,7.81,91.21,160.21,116.64,24.18,0.7501,8,1,1
13.52,101474.1,0.1923,24.19,0.42,44.87,10.37,5.58,23.58,0.206,3,0,0
10.71,100748.3,0.1689,18.21,1.75,36.64,6.19,3.74,18.59,0.1671,10,0,0
337.01,98030.9,0.95,22.71,8.5,97.69,209.06,161.95,23.12,0.9458,5,0,1
17.18,100885.3,0.2017,37.23,1.9,51.75,12.79,6.52,38.8,0.2004,5,0,0
4.92,101591.5,0.0891,35.28,0.79,26.16,2.67,1.51,33.92,0.1028,3,0,0
14.93,101678.1,0.1814,29.26,2.58,49.0,11.57,7.04,29.09,0.1915,2,0,0
4.23,101715.6,0.1477,20.25,0.0,27.27,3.41,1.75,18.75,0.163,12,0,0
237.91,98966.5,0.8142,25.77,6.16,87.69,151.64,109.25,23.81,0.7939,9,1,1
14.33,101395.6,0.2,37.74,0.85,42.54,12.76,9.75,39.21,0.1851,10,0,0
167.87,99505.8,0.7148,20.88,4.61,83.88,105.2,65.17,20.46,0.7359,6,1,1
26.07,100500.0,0.3275,23.83,2.32,62.42,18.12,12.09,22.07,0.3243,12,0,0
17.73,101270.5,0.2937,28.99,2.22,47.53,11.75,8.2,30.17,0.2892,8,1,0
280.4,98858.7,0.8626,31.31,8.19,91.89,226.67,173.33,32.97,0.8452,6,1,1
18.39,101288.7,0.2459,26.24,1.12,53.24,14.84,12.06,25.15,0.2506,5,0,0
113.23,100223.0,0.6152,21.11,3.49,76.24,95.54,77.41,23.04,0.6419,9,1,1
16.04,101854.0,0.2159,36.27,2.65,51.73,12.22,6.25,35.26,0.2354,7,1,0
234.13,99124.6,0.798,29.37,8.06,89.48,184.22,128.58,28.6,0.7837,1,0,1
29.93,100500.0,0.3255,34.44,5.0,63.95,17.57,9.81,35.12,0.3445,12,0,0
21.81,101275.2,0.2725,31.41,0.87,57.93,19.29,12.25,32.07,0.2879,12,0,0
303.43,98613.9,0.8669,30.8,6.58,98.88,177.74,139.31,29.64,0.8702,8,1,1
14.13,101083.5,0.1946,22.15,0.6,43.47,10.56,8.14,22.88,0.2139,4,0,0
118.26,99678.2,0.6646,24.35,5.37,78.33,73.92,57.31,23.73,0.653,9,1,1
246.84,98680.5,0.8157,33.97,8.39,84.54,147.31,115.86,32.68,0.8003,3,0,1
13.12,101933.4,0.2054,30.12,0.57,42.06,9.58,7.74,29.31,0.2011,9,1,0
0.15,102997.2,0.0837,34.2,0.41,20.0,0.1,0.08,35.55,0.0965,11,0,0
265.79,99435.3,0.8699,24.05,5.14,93.97,202.3,115.13,25.65,0.8978,9,1,1
131.99,100317.6,0.7127,34.36,4.19,76.85,97.46,68.94,33.53,0.7291,9,1,1
0.6,102128.4,0.0915,32.59,0.6,20.45,0.42,0.29,33.07,0.0751,9,1,0
18.13,101643.3,0.2127,36.4,1.35,54.18,11.23,9.53,35.92,0.2086,2,0,0
110.44,99816.4,0.6058,20.12,4.52,79.75,65.12,50.86,20.64,0.592,8,1,1
17.61,100500.0,0.2391,36.88,0.69,57.42,14.85,11.24,36.49,0.225,6,1,0
28.15,100500.0,0.35,29.55,3.0,68.12,20.0,14.95,28.61,0.3562,3,0,0
167.75,99782.2,0.6795,22.08,5.71,84.58,96.06,53.7,22.69,0.6703,10,0,1
16.79,101748.3,0.2419,32.29,1.04,49.42,12.81,10.82,32.29,0.2321,6,1,0
6.59,101874.9,0.1118,20.86,0.67,27.28,3.67,2.02,19.53,0.107,10,0,0
299.07,98230.0,0.9376,24.23,9.72,94.78,220.2,139.01,25.86,0.9107,8,1,1
194.9,99294.3,0.7163,20.0,3.11,84.55,116.94,77.19,21.67,0.7435,8,1,1
1.66,102067.3,0.0836,32.92,0.22,24.01,0.89,0.72,31.9,0.0841,5,0,0
22.45,100864.1,0.2929,24.71,2.72,63.29,11.24,7.93,24.47,0.2871,12,0,0
109.62,100190.5,0.6454,20.16,3.76,75.0,90.84,62.32,19.19,0.6218,6,1,1
167.56,99661.1,0.7174,20.62,4.08,81.57,141.95,94.65,20.69,0.7099,8,1,1
139.77,99675.7,0.7069,30.12,6.92,75.0,107.3,63.46,29.27,0.7,10,0,1
302.12,98408.5,0.8747,20.0,8.44,97.88,250.0,180.0,18.13,0.865,11,0,1
14.04,101396.2,0.22,34.45,1.73,41.72,12.18,7.85,35.25,0.2228,9,1,0
4.14,102173.6,0.1363,31.92,0.31,26.74,2.65,2.32,32.74,0.1196,11,0,0
28.28,100500.0,0.3393,33.45,3.79,60.89,14.65,12.48,32.41,0.3196,8,1,0
183.35,99506.3,0.7475,21.89,7.23,84.14,152.91,88.9,21.24,0.7256,9,1,1
349.46,98140.0,0.9455,26.42,11.24,98.96,224.84,159.87,28.25,0.9505,9,1,1
81.79,100314.0,0.6,23.96,3.0,80.43,60.52,48.19,24.59,0.6278,7,1,1
113.96,100193.8,0.6339,20.24,4.4,84.14,67.21,47.0,21.63,0.6524,1,0,1
338.92,98000.0,0.9157,22.88,5.93,96.97,201.74,131.42,24.05,0.9275,6,1,1
171.84,98955.4,0.6847,31.08,3.75,86.45,109.94,84.64,31.86,0.6986,2,0,1
346.52,98534.8,0.95,34.67,9.51,97.52,242.6,180.0,34.03,0.925,6,1,1
3.25,102032.4,0.1238,24.44,0.0,28.67,2.09,1.13,24.15,0.1161,1,0,0
332.71,98060.0,0.9047,22.95,7.36,100.0,234.22,143.65,21.4,0.933,8,1,1
146.85,99329.8,0.6983,20.0,5.29,84.66,85.93,70.57,19.49,0.6825,6,1,1
186.94,98977.6,0.7068,28.64,6.38,84.17,110.48,91.19,28.07,0.6874,3,0,1
87.51,100179.7,0.6127,32.51,3.0,77.74,65.85,40.38,32.25,0.6112,7,1,1
220.2,99521.3,0.7347,22.67,5.49,85.48,139.99,95.13,22.52,0.7222,3,0,1
8.1,101926.0,0.1645,24.54,0.0,29.23,4.19,3.51,22.84,0.1571,6,1,0
154.64,99825.2,0.6495,31.11,4.51,79.62,96.27,77.85,31.3,0.6786,7,1,1
335.0,98627.5,0.9248,23.81,9.57,100.0,242.86,137.89,25.28,0.9309,9,1,1
2.91,101850.3,0.1122,28.92,0.43,24.54,1.69,1.39,29.93,0.094,10,0,0
293.34,98558.0,0.897,34.23,10.02,94.91,179.38,120.92,33.45,0.9004,8,1,1
170.3,99395.3,0.7151,25.75,4.95,87.55,118.17,79.94,26.72,0.6871,6,1,1
294.21,98417.0,0.8774,24.94,9.8,97.28,224.52,174.85,25.69,0.8913,12,0,1
166.12,99374.5,0.7105,26.28,3.15,84.17,117.67,95.39,25.6,0.7041,7,1,1
19.8,101513.5,0.2729,30.97,2.28,53.83,13.48,11.12,31.22,0.2759,4,0,0
219.75,99720.6,0.8054,28.11,4.57,88.49,174.56,127.71,27.46,0.7766,12,0,1
221.55,98920.7,0.8164,30.51,6.34,86.59,183.23,152.53,30.13,0.8294,7,1,1
261.7,98923.6,0.7705,21.14,7.1,90.57,150.57,127.52,21.01,0.7656,9,1,1
20.69,100877.9,0.2515,22.68,2.05,55.39,18.27,12.72,21.2,0.2546,1,0,0
331.89,98205.7,0.9146,20.88,11.45,99.17,210.53,153.39,21.45,0.9007,7,1,1
23.5,100756.4,0.2787,24.54,1.54,59.42,16.77,12.35,26.26,0.2591,9,1,0
2.87,101969.5,0.0848,25.18,0.61,23.31,2.5,1.44,26.64,0.0893,7,1,0
4.0,101507.6,0.1251,33.98,1.07,28.68,3.08,1.55,35.76,0.1109,11,0,0
14.91,101069.5,0.1945,29.25,1.13,48.9,7.9,5.81,29.01,0.1747,1,0,0
29.85,100500.0,0.3409,36.61,2.18,69.51,20.0,15.0,37.8,0.3452,5,0,0
